VALUE,HEIGHT,LEFT,RIGHT,AGE,NATIONALITY,GOAL,ASSIST,MINUTES,SCORINGABILITY,PASS,TACKLE,DRIBBLE,SAVE,CLEANSHEET
36000000,166,0,1,23,1,0.06,0.06,1512,-0.6000000000000001,87.5,24,81.3,0.0,0.0
16000000,186,0,1,19,0,0.11,0.11,857,-1.2999999999999998,81.3,15,66.7,0.0,0.0
24000000,186,1,0,26,1,0.03,0.07,2586,0.7,87.8,27,84.4,0.0,0.0
3000000,186,0,1,26,1,0.0,0.0,18,0.0,80.0,0,0.0,0.0,0.0
2000000,189,0,1,21,0,0.0,0.0,548,-1.9,75.4,2,60.0,0.0,0.0
4000000,177,0,1,29,0,0.0,0.0,259,-0.1,81.4,5,66.7,0.0,0.0
2000000,182,0,1,31,1,0.09,0.09,1031,0.8,76.5,17,66.7,0.0,0.0
9000000,194,0,1,24,1,0.06,0.0,1447,0.19999999999999996,83.1,4,100.0,0.0,0.0
8000000,189,0,1,24,1,0.18,0.18,2051,-2.0,65.4,10,62.5,0.0,0.0
30000000,180,0,1,23,0,0.22,0.17,3233,1.5,79.1,28,59.2,0.0,0.0
7000000,178,0,1,24,1,0.0,0.09,2041,-0.4,67.0,38,58.5,0.0,0.0
6000000,191,1,0,24,0,0.06,0.0,1545,-1.1,74.9,22,78.6,0.0,0.0
4000000,188,0,1,33,0,0.0,0.0,1794,0.0,57.0,0,0.0,0.677,20.0
6000000,181,1,0,28,1,0.18,0.29,1534,1.4,75.2,14,66.7,0.0,0.0
2500000,178,1,0,28,1,0.0,0.27,335,-0.2,74.5,2,47.1,0.0,0.0
3000000,189,0,1,29,1,0.0,0.0,117,-0.1,63.3,0,100.0,0.0,0.0
6000000,183,0,1,21,0,0.04,0.09,2039,-0.6000000000000001,79.0,18,63.6,0.0,0.0
1000000,183,0,1,28,0,0.0,0.0,195,-0.1,74.1,2,100.0,0.0,0.0
27000000,175,0,1,21,1,0.1,0.07,2612,0.7000000000000002,80.9,33,73.2,0.0,0.0
16000000,178,1,0,24,1,0.12,0.12,2312,-0.7999999999999998,75.6,40,76.8,0.0,0.0
22000000,195,1,0,26,0,0.06,0.06,2902,0.8999999999999999,79.1,17,78.6,0.0,0.0
20000000,191,0,1,22,1,0.25,0.05,1782,0.0,73.5,10,63.6,0.0,0.0
8000000,177,1,0,25,1,0.0,0.0,1836,-0.2,84.5,47,70.0,0.0,0.0
1200000,192,0,1,28,1,0.0,0.0,539,0.0,57.7,0,0.0,0.538,20.0
65000,188,0,1,36,1,0.0,0.0,1080,0.0,68.9,0,0.0,0.64,16.7
9000000,183,0,1,26,1,0.1,0.0,943,-0.8999999999999999,70.9,7,60.0,0.0,0.0
10000000,183,1,0,23,0,0.04,0.08,2291,0.5,73.3,33,43.5,0.0,0.0
2000000,176,1,0,30,1,0.0,0.0,1091,-0.3,79.9,10,66.7,0.0,0.0
8000000,179,0,1,24,1,0.28,0.05,1950,2.1,66.3,28,53.3,0.0,0.0
25000,175,1,0,18,1,0.0,0.0,51,0.0,72.7,1,50.0,0.0,0.0
2000000,176,1,0,22,1,0.0,0.0,80,0.0,77.8,2,0.0,0.0,0.0
11000000,184,0,1,20,1,0.0,0.95,190,-1.8,82.7,1,83.3,0.0,0.0
90000,188,0,1,19,0,0.0,0.0,18,-0.1,92.3,0,0.0,0.0,0.0
11000000,187,0,1,25,0,0.0,0.09,959,-0.2,89.9,14,100.0,0.0,0.0
16000000,180,0,1,23,1,0.05,0.1,1769,-0.6000000000000001,84.0,23,56.0,0.0,0.0
80000,179,0,1,19,1,0.0,1.1,82,-0.4,88.1,1,80.0,0.0,0.0
20000,187,0,0,18,0,0.0,0.0,1,0.0,100.0,0,0.0,0.0,0.0
12000000,190,0,1,26,1,0.06,0.03,2783,0.19999999999999996,87.9,25,76.5,0.0,0.0
20000000,180,0,1,27,1,0.08,0.08,2337,0.10000000000000009,87.9,48,56.8,0.0,0.0
13000000,194,0,1,24,0,0.0,0.0,2884,0.0,74.9,0,0.0,0.681,24.2
15000000,165,0,1,31,1,0.22,0.51,2842,-1.6999999999999993,79.4,24,61.5,0.0,0.0
20000000,183,1,0,25,1,0.31,0.24,2617,3.0999999999999996,78.4,32,34.8,0.0,0.0
12000000,185,0,1,25,1,0.0,0.15,2356,-1.6,84.8,24,40.0,0.0,0.0
15000000,190,1,0,31,1,0.81,0.27,1663,5.800000000000001,80.2,21,57.8,0.0,0.0
